plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008-09,generation_2009-10,generation_2010-11,generation_2011-12,generation_2012-13,generation_2013-14,generation_2014-15,generation_2021-22,generation_2022-23,generation_2023-24,generation_2024-25,generation_2007-08,plant_load_factor_2015-16,plant_load_factor_2016-17,plant_load_factor_2017-18,plant_load_factor_2018-19,plant_load_factor_2019-20,plant_load_factor_2020-21,plant_load_factor_2008-09,plant_load_factor_2009-10,plant_load_factor_2010-11,plant_load_factor_2011-12,plant_load_factor_2012-13,plant_load_factor_2013-14,plant_load_factor_2014-15,plant_load_factor_2021-22,plant_load_factor_2022-23,plant_load_factor_2023-24,plant_load_factor_2024-25,plant_load_factor_2007-08
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 5,5.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,970.81,868.9,783.77,872.3919999999999,714.62,935.74375,N.F.,N.F.,N.F.,N.F.,144.44,505.54,910.71,876.88,919.7,956.7900000000001,523.14,,81.86686230857451,73.47370201251479,66.2751564349738,73.7689835954676,60.26276732105512,79.12597243362084,N.F.,N.F.,N.F.,N.F.,56.6,42.7,77,74.14848638592932,77.76932183324877,80.6845780206436,58.71380471380472,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-10-2009 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2009,2009-10,2000-2009,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-07-2010 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2010,2010-11,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-11-2011 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2011,2011-12,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-11-2011 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2011,2011-12,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,03-03-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,16-03-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 6,6.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,913.54,841.3,816.3099999999998,795.9830000000001,648.99,858.2437499999999,N.F.,N.F.,N.F.,N.F.,N.F.,507.25,893.23,934.23,957.4999999999999,841.6600000000001,688.14,,77.03737435067126,71.13986132250972,69.02672078471164,67.30788094030105,54.728293867638136,72.5726154236428,N.F.,N.F.,N.F.,N.F.,N.F.,42.9,75.5,78.99797057331304,80.96566886521224,70.97584834379008,77.23232323232322,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-10-2009 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2009,2009-10,2000-2009,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-07-2010 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2010,2010-11,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-11-2011 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2011,2011-12,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-11-2011 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2011,2011-12,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,03-03-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,16-03-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 7,7.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,910.6899999999999,856.69,819.17,789.1020000000001,776.51,927.35375,N.F.,N.F.,N.F.,N.F.,N.F.,511.48,959.73,906.8799999999998,928.84,1006.6400000000001,631.35,,76.79703838629156,72.44123118552342,69.26856079824117,66.72602739726028,65.48185252647912,78.4165186876374,N.F.,N.F.,N.F.,N.F.,N.F.,43.3,81.2,76.68526974463046,78.54219516319972,84.88834918707416,70.85858585858585,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-10-2009 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2009,2009-10,2000-2009,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-07-2010 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2010,2010-11,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-11-2011 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2011,2011-12,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-11-2011 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2011,2011-12,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,03-03-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,16-03-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
jalipa-kapurdi-tpp-raj-west-power-ltd-jsw,Jalipa- Kapurdi TPP Unit 8,8.0,Jalipa- Kapurdi TPP,Rajasthan,Barmer,01-02-2013 00:00,135.0,Raj West Power Ltd. (JSW),operational,operational,2013,2012-13,2010-2019,coal,Subcritical,911.65,771.4399999999999,755.0200000000001,876.5630000000001,723.7300000000001,915.0537499999999,N.F.,N.F.,N.F.,N.F.,106.84,548.18,860.02,1017.6400000000001,937.1499999999999,826.58,643.23,,76.87799365850367,65.2325384745476,63.84407238288517,74.12168104177238,61.03099912298456,77.37643751056991,N.F.,N.F.,N.F.,N.F.,89.7,46.4,72.7,86.05107390495519,79.24488415355995,69.70417594279161,72.1919191919192,
kawai-tps-adani-power-co-ltd-apl,Kawai Thermal Power Station Phase I Unit 1,1.0,Kawai TPS,Rajasthan,Baran,01-05-2013 00:00,660.0,Adani Power Co. Ltd. (APL),operational,operational,2013,2013-14,2010-2019,coal,Supercritical,4100.5,4000.7599999999998,1788.74,4211.46,3895.9899999999993,4130.915,N.F.,N.F.,N.F.,N.F.,N.F.,2539.47,4322.27,4193.419999999999,4612.610000000001,4294.08,3630.7199999999993,,70.72949439752718,69.19814584198146,30.938494534384947,72.84246575342466,67.20190290887011,71.44933928324339,N.F.,N.F.,N.F.,N.F.,N.F.,52.7,74.8,72.5304414003044,79.78085651030858,74.06855439642325,83.34986225895315,
kawai-tps-adani-power-co-ltd-apl,Kawai Thermal Power Station Phase I Unit 1,1.0,Kawai TPS,Rajasthan,Baran,24-12-2013 00:00,660.0,Adani Power Co. Ltd. (APL),operational,operational,2013,2013-14,2010-2019,coal,Supercritical,4100.5,4000.7599999999998,1788.74,4211.46,3895.9899999999993,4130.915,N.F.,N.F.,N.F.,N.F.,N.F.,2539.47,4322.27,4193.419999999999,4612.610000000001,4294.08,3630.7199999999993,,70.72949439752718,69.19814584198146,30.938494534384947,72.84246575342466,67.20190290887011,71.44933928324339,N.F.,N.F.,N.F.,N.F.,N.F.,52.7,74.8,72.5304414003044,79.78085651030858,74.06855439642325,83.34986225895315,
kawai-tps-adani-power-co-ltd-apl,Kawai Thermal Power Station Phase I Unit 2,2.0,Kawai TPS,Rajasthan,Baran,01-05-2013 00:00,660.0,Adani Power Co. Ltd. (APL),operational,operational,2013,2013-14,2010-2019,coal,Supercritical,4468.32,4035.2200000000007,2645.26,3393.3030000000003,3997.82,4458.465,N.F.,N.F.,N.F.,N.F.,N.F.,1174.06,3544.09,4144.629999999999,4306.570000000001,4587.160000000001,3259.85,,77.07401887729756,69.79417462294177,45.75307873253079,58.69141760066419,68.95836783131864,77.11472602739727,N.F.,N.F.,N.F.,N.F.,N.F.,77,61.3,71.68655735436556,74.48751210737514,79.12388916487278,74.83585858585859,
kawai-tps-adani-power-co-ltd-apl,Kawai Thermal Power Station Phase I Unit 2,2.0,Kawai TPS,Rajasthan,Baran,24-12-2013 00:00,660.0,Adani Power Co. Ltd. (APL),operational,operational,2013,2013-14,2010-2019,coal,Supercritical,4468.32,4035.2200000000007,2645.26,3393.3030000000003,3997.82,4458.465,N.F.,N.F.,N.F.,N.F.,N.F.,1174.06,3544.09,4144.629999999999,4306.570000000001,4587.160000000001,3259.85,,77.07401887729756,69.79417462294177,45.75307873253079,58.69141760066419,68.95836783131864,77.11472602739727,N.F.,N.F.,N.F.,N.F.,N.F.,77,61.3,71.68655735436556,74.48751210737514,79.12388916487278,74.83585858585859,
kalisindh-stps-rajasthan-rajya-vidyut-utpadan-nigam-ltd,Kalisindh Supercritical Thermal Power Station Stage I Unit 1,1.0,Kalisindh STPS,Rajasthan,Jhalawar,01-05-2014 00:00,600.0,Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,operational,operational,2014,2014-15,2010-2019,coal,Supercritical,3510.88,3641.36,3202.2199999999993,4140.447,3333.04,2622.325,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,1209.12,3492.5299999999993,3259.2500000000005,3371.3500000000004,2449.46,,66.61505768063145,69.28006088280061,60.92503805175037,78.77562785388128,63.24074074074074,49.89202815829528,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,25.8,66.44843987823438,62.01008371385085,63.967630540376454,61.8550505050505,
kalisindh-stps-rajasthan-rajya-vidyut-utpadan-nigam-ltd,Kalisindh Supercritical Thermal Power Station Stage I Unit 1,1.0,Kalisindh STPS,Rajasthan,Jhalawar,06-06-2015 00:00,600.0,Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,operational,operational,2015,2015-16,2010-2019,coal,Supercritical,3510.88,3641.36,3202.2199999999993,4140.447,3333.04,2622.325,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,1209.12,3492.5299999999993,3259.2500000000005,3371.3500000000004,2449.46,,66.61505768063145,69.28006088280061,60.92503805175037,78.77562785388128,63.24074074074074,49.89202815829528,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,25.8,66.44843987823438,62.01008371385085,63.967630540376454,61.8550505050505,
kalisindh-stps-rajasthan-rajya-vidyut-utpadan-nigam-ltd,Kalisindh Supercritical Thermal Power Station Stage I Unit 2,2.0,Kalisindh STPS,Rajasthan,Jhalawar,01-05-2014 00:00,600.0,Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,operational,operational,2014,2014-15,2010-2019,coal,Supercritical,2568.6799999999994,2211.9100000000003,3010.15,1385.43,2187.1099999999997,2975.615,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,3650.15,2841.8700000000003,3679.59,3031.0499999999997,,48.73785670916818,42.08352359208524,57.270738203957386,26.359018264840184,41.49798876745597,56.61367960426179,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,69.44729832572298,54.06906392694065,69.81614298724953,76.54166666666666,
kalisindh-stps-rajasthan-rajya-vidyut-utpadan-nigam-ltd,Kalisindh Supercritical Thermal Power Station Stage I Unit 2,2.0,Kalisindh STPS,Rajasthan,Jhalawar,06-06-2015 00:00,600.0,Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,operational,operational,2015,2015-16,2010-2019,coal,Supercritical,2568.6799999999994,2211.9100000000003,3010.15,1385.43,2187.1099999999997,2975.615,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,3650.15,2841.8700000000003,3679.59,3031.0499999999997,,48.73785670916818,42.08352359208524,57.270738203957386,26.359018264840184,41.49798876745597,56.61367960426179,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,N.F.,69.44729832572298,54.06906392694065,69.81614298724953,76.54166666666666,
neyveli-tps-i-nlc-india-limited-formerly-neyveli-lignite-corp-ltd,Neyveli Lignite Thermal Power Station-I (NEYVELI TPS I) Unit 1,1.0,Neyveli TPS I,Tamil Nadu,Cuddalore,01-05-1962 00:00,50.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),decommissioned,retired,1962,1962-63,1960-1969,coal,Subcritical,301.4100000000001,333.71000000000004,264.46,282.5946,271.21,0,289.31,309.39,314.2,349.67,347.38,354.28,280,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,68.62704918032789,76.18949771689499,60.37899543378995,64.51931506849316,61.75091074681238,0,66.1,70.6,71.7,79.6,79.3,80.9,63.9,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
neyveli-tps-i-nlc-india-limited-formerly-neyveli-lignite-corp-ltd,Neyveli Lignite Thermal Power Station-I (NEYVELI TPS I) Unit 1,1.0,Neyveli TPS I,Tamil Nadu,Cuddalore,01-01-1963 00:00,50.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),decommissioned,retired,1963,1962-63,1960-1969,coal,Subcritical,301.4100000000001,333.71000000000004,264.46,282.5946,271.21,0,289.31,309.39,314.2,349.67,347.38,354.28,280,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,68.62704918032789,76.18949771689499,60.37899543378995,64.51931506849316,61.75091074681238,0,66.1,70.6,71.7,79.6,79.3,80.9,63.9,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
neyveli-tps-i-nlc-india-limited-formerly-neyveli-lignite-corp-ltd,Neyveli Lignite Thermal Power Station-I (NEYVELI TPS I) Unit 1,1.0,Neyveli TPS I,Tamil Nadu,Cuddalore,01-06-1963 00:00,50.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),decommissioned,retired,1963,1963-64,1960-1969,coal,Subcritical,301.4100000000001,333.71000000000004,264.46,282.5946,271.21,0,289.31,309.39,314.2,349.67,347.38,354.28,280,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,68.62704918032789,76.18949771689499,60.37899543378995,64.51931506849316,61.75091074681238,0,66.1,70.6,71.7,79.6,79.3,80.9,63.9,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
neyveli-tps-i-nlc-india-limited-formerly-neyveli-lignite-corp-ltd,Neyveli Lignite Thermal Power Station-I (NEYVELI TPS I) Unit 1,1.0,Neyveli TPS I,Tamil Nadu,Cuddalore,01-10-1963 00:00,50.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),decommissioned,retired,1963,1963-64,1960-1969,coal,Subcritical,301.4100000000001,333.71000000000004,264.46,282.5946,271.21,0,289.31,309.39,314.2,349.67,347.38,354.28,280,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,68.62704918032789,76.18949771689499,60.37899543378995,64.51931506849316,61.75091074681238,0,66.1,70.6,71.7,79.6,79.3,80.9,63.9,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
