plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008-09,generation_2009-10,generation_2010-11,generation_2011-12,generation_2012-13,generation_2013-14,generation_2014-15,generation_2021-22,generation_2022-23,generation_2023-24,generation_2024-25,generation_2007-08,plant_load_factor_2015-16,plant_load_factor_2016-17,plant_load_factor_2017-18,plant_load_factor_2018-19,plant_load_factor_2019-20,plant_load_factor_2020-21,plant_load_factor_2008-09,plant_load_factor_2009-10,plant_load_factor_2010-11,plant_load_factor_2011-12,plant_load_factor_2012-13,plant_load_factor_2013-14,plant_load_factor_2014-15,plant_load_factor_2021-22,plant_load_factor_2022-23,plant_load_factor_2023-24,plant_load_factor_2024-25,plant_load_factor_2007-08
karnataka-chikmagalur,,,Karnataka-Chikmagalur,Karnataka,Chikmagalur,,6.4,,operational,operational,2014,2013-14,2010-2019,wind,,10.591395840000002,10.1924352,10.4671488,13.3768704,13.58217216,11.72772864,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-chitradurga,,,Karnataka-Chitradurga,Karnataka,Chitradurga,,685.97,,operational,operational,1997,1997-98,1990-1999,wind,,973.0348456319999,985.75181496,1012.32048324,1293.7314799199999,1368.170401536,1314.5592708,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-davangere,,,Karnataka-Davangere,Karnataka,Davangere,,334.65,,operational,operational,2001,2000-01,2000-2009,wind,,286.79514048,403.39747439999996,418.1953044,534.4477751999999,542.6502220799999,468.55940831999993,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-dharwad,,,Karnataka-Dharwad,Karnataka,Dharwad,,46.2,,operational,operational,2016,2015-16,2010-2019,wind,,34.7530176,73.5766416,75.5597304,96.5642832,98.04630528000001,84.65954112000001,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-gadag,,,Karnataka-Gadag,Karnataka,Gadag,,956.635,,operational,operational,1996,1995-96,1990-1999,wind,,968.2107958079998,1070.2932872399997,1099.14057606,1404.6863494799998,1426.244798592,1231.50313008,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-gulbarga,,,Karnataka-Gulbarga,Karnataka,Gulbarga,,140.0,,operational,operational,2017,2016-17,2010-2019,wind,,N.F.,95.55408,196.25904,250.81631999999996,254.66572799999997,219.894912,,,,,,,,,,,,,N.F.,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-hassan,,,Karnataka-Hassan,Karnataka,Hassan,,113.75,,operational,operational,2007,2006-07,2000-2009,wind,,188.24551200000002,181.15461,186.037215,237.75296999999998,241.40188799999996,208.442052,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-haveri,,,Karnataka-Haveri,Karnataka,Haveri,,244.5,,operational,operational,2012,2011-12,2010-2019,wind,,404.62441920000003,389.382876,399.87779400000005,511.03825199999994,518.8814208,448.0358832,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-kolar,,,Karnataka-Kolar,Karnataka,Kolar,,14.7,,operational,operational,2015,2014-15,2010-2019,wind,,24.327112319999998,23.4107496,24.0417324,30.7249992,31.19655168,26.93712672,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-koppal,,,Karnataka-Koppal,Karnataka,Koppal,,563.36,,operational,operational,1997,1996-97,1990-1999,wind,,25.932370751999997,24.955540560000003,525.1074164400001,818.43455352,886.173067008,765.1793200320001,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-raichur,,,Karnataka-Raichur,Karnataka,Raichur,,290.9,,operational,operational,2010,2010-11,2010-2019,wind,,170.4552768,164.034504,446.4893160000001,570.607128,579.3645312,500.26092480000005,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-ramanagara,,,Karnataka-Ramanagara,Karnataka,Ramanagara,,28.5,,operational,operational,2012,2011-12,2010-2019,wind,,47.16480959999999,45.38818800000001,46.611522,59.568875999999996,60.48311040000001,52.225041600000004,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-shimoga,,,Karnataka-Shimoga,Karnataka,Shimoga,,89.65,,operational,operational,2009,2008-09,2000-2009,wind,,79.8491952,76.84140599999999,78.91248900000001,100.84906199999999,102.39684480000001,88.41607919999998,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-tumkur,,,Karnataka-Tumkur,Karnataka,Tumkur,,87.2,,operational,operational,2006,2006-07,2000-2009,wind,,144.30776832,138.87192960000002,142.6149024,182.25985920000002,185.05709568,159.79030272000003,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
kerala-idukki,,,Kerala-Idukki,Kerala,Idukki,,14.725,,operational,operational,2001,2000-01,2000-2009,wind,,25.1368434,22.591404899999997,32.144557199999994,28.8423876,28.222948080000002,29.461685760000005,,,,,,,,,,,,,20.85,18.79,24.92,22.36,21.82,24.96,,,,,,,,,,,,
kerala-palakkad,,,Kerala-Palakkad,Kerala,Palakkad,,41.375,,operational,operational,2008,2007-08,2000-2009,wind,,26.327295,49.99737149999999,66.30838200000001,79.08396599999999,91.56885192,95.58791423999999,,,,,,,,,,,,,20.85,18.79,24.92,22.36,21.82,24.96,,,,,,,,,,,,
madhya-pradesh-betul,,,Madhya Pradesh-Betul,Madhya Pradesh,Betul,,137.5,,operational,operational,2014,2014-15,2010-2019,wind,,58.273056000000004,186.85737000000003,215.33832000000004,251.19081,241.56,194.5383,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
madhya-pradesh-dewas,,,Madhya Pradesh-Dewas,Madhya Pradesh,Dewas,,571.15,,operational,operational,1995,1995-96,1990-1999,wind,,355.61602368,813.8920818,937.9461648000002,1094.1083634000001,993.20688,799.8707484,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
madhya-pradesh-dhar,,,Madhya Pradesh-Dhar,Madhya Pradesh,Dhar,,222.4,,operational,operational,2016,2015-16,2010-2019,wind,,167.22487296,325.9378752,375.6175872,438.15557759999996,390.71232,314.65685759999997,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
madhya-pradesh-mandsaur,,,Madhya Pradesh-Mandsaur,Madhya Pradesh,Mandsaur,,461.7,,operational,operational,2012,2011-12,2010-2019,wind,,261.21367296,543.1320888,625.9167168,730.1279544,668.63808,538.4820144,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
madhya-pradesh-ratlam,,,Madhya Pradesh-Ratlam,Madhya Pradesh,Ratlam,,772.05,,operational,operational,2006,2005-06,2000-2009,wind,,396.21918528000015,997.9649106,1150.0755216000002,1341.5559378000003,1213.86096,977.5726428,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
madhya-pradesh-shajapur,,,Madhya Pradesh-Shajapur,Madhya Pradesh,Shajapur,,501.19,,operational,operational,2007,2007-08,2000-2009,wind,,269.78545152000004,573.1758228,692.46048,807.75084,753.8253119999998,607.08683016,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
madhya-pradesh-ujjain,,,Madhya Pradesh-Ujjain,Madhya Pradesh,Ujjain,,169.1,,operational,operational,2016,2015-16,2010-2019,wind,,45.114624000000006,114.31274400000001,131.73638400000002,153.669672,154.5984,124.50451199999999,,,,,,,,,,,,,8.56,16.73,19.28,22.49,20.0,17.65,,,,,,,,,,,,
maharashtra-ahmednagar,,,Maharashtra-Ahmednagar,Maharashtra,Ahmednagar,,363.65,,operational,operational,2001,2000-01,2000-2009,wind,,451.77908327999995,543.3128076,473.20792919999997,546.6367458,552.37643784,418.63904688,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-amravati,,,Maharashtra-Amravati,Maharashtra,Amravati,,4.1,,operational,operational,2009,2009-10,2000-2009,wind,,5.369747039999999,6.457696799999999,5.624445599999998,6.497204399999999,6.56542512,4.97585184,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-aurangabad,,,Maharashtra-Aurangabad,Maharashtra,Aurangabad,,21.0,,operational,operational,2017,2016-17,2010-2019,wind,,N.F.,N.F.,17.2848816,26.622691200000006,187.03454976000003,141.75109632000002,,,,,,,,,,,,,N.F.,N.F.,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-beed,,,Maharashtra-Beed,Maharashtra,Beed,,192.25,,operational,operational,2008,2007-08,2000-2009,wind,,251.78874840000003,302.80297800000005,263.731626,304.65549899999996,307.85438519999997,233.3189064,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-dhule,,,Maharashtra-Dhule,Maharashtra,Dhule,,884.1,,operational,operational,2002,2001-02,2000-2009,wind,,1157.9008190400002,1392.4999368000001,1212.8225256,1401.0191244,1415.7298411200002,1072.9635638400002,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-kolhapur,,,Maharashtra-Kolhapur,Maharashtra,Kolhapur,,54.5,,operational,operational,2013,2013-14,2010-2019,wind,,68.758956,85.840116,74.763972,86.365278,87.27211439999999,66.1424208,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-nashik,,,Maharashtra-Nashik,Maharashtra,Nashik,,206.9,,operational,operational,2007,2007-08,2000-2009,wind,,270.97577136,325.87743120000005,283.8287304,327.8711196,331.31377008000004,251.09847456,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-pune,,,Maharashtra-Pune,Maharashtra,Pune,,123.4,,operational,operational,2009,2009-10,2000-2009,wind,,152.18648928000002,194.3609232,169.2820944,195.55000560000002,197.60328288000002,149.76100416,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-ratnagiri,,,Maharashtra-Ratnagiri,Maharashtra,Ratnagiri,,54.8,,operational,operational,2013,2013-14,2010-2019,wind,,71.77125311999998,86.31263039999999,75.1755168,86.8406832,87.75251136,66.50650752,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-sangli,,,Maharashtra-Sangli,Maharashtra,Sangli,,1137.15,,operational,operational,2002,2001-02,2000-2009,wind,,1401.43849272,1771.3777332000002,1542.8128644,1782.2148606,1800.9281368800002,1364.9004321600003,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-satara,,,Maharashtra-Satara,Maharashtra,Satara,,1802.95,,operational,operational,1997,1996-97,1990-1999,wind,,2141.350344,2575.20348,2242.91916,2600.4664439999997,2797.6397362559997,2129.409726816,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-sindhudurg,,,Maharashtra-Sindhudurg,Maharashtra,Sindhudurg,,10.0,,operational,operational,2016,2015-16,2010-2019,wind,,13.096943999999999,15.75048,13.71816,15.84684,16.013232000000002,12.136223999999999,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
maharashtra-yavatmal,,,Maharashtra-Yavatmal,Maharashtra,Yavatmal,,30.0,,operational,operational,2016,2015-16,2010-2019,wind,,13.751791200000001,47.25144,41.15448,47.54052000000001,48.039696,36.408672,,,,,,,,,,,,,14.91,17.98,15.66,18.09,18.23,15.14,,,,,,,,,,,,
rajasthan-barmer,,,Rajasthan-Barmer,Rajasthan,Barmer,,54.4,,operational,operational,2009,2009-10,2000-2009,wind,,64.65305088,72.9588864,73.149504,80.7265536,77.60277503999998,65.67220223999999,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
rajasthan-bharatpur,,,Rajasthan-Bharatpur,Rajasthan,Bharatpur,,201.6,,operational,operational,2013,2012-13,2010-2019,wind,,239.59660031999996,270.3770496,271.08345599999996,299.16311040000005,287.58675456,243.37345535999998,,,,,,,,,,,,,13.53,15.31,15.35,16.94,16.24,15.06,,,,,,,,,,,,
