plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008_09,generation_2009_10,generation_2010_11,generation_2011_12,generation_2012_13,generation_2013_14,generation_2014_15,generation_2021_22,generation_2022_23,generation_2023_24,generation_2024_25,generation_2007_08,plant_load_factor_2015_16,plant_load_factor_2016_17,plant_load_factor_2017_18,plant_load_factor_2018_19,plant_load_factor_2019_20,plant_load_factor_2020_21,plant_load_factor_2008_09,plant_load_factor_2009_10,plant_load_factor_2010_11,plant_load_factor_2011_12,plant_load_factor_2012_13,plant_load_factor_2013_14,plant_load_factor_2014_15,plant_load_factor_2021_22,plant_load_factor_2022_23,plant_load_factor_2023_24,plant_load_factor_2024_25,plant_load_factor_2007_08
jaldhaka-i-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Jaldhaka I Hydroelectric Power Project,West Bengal,Kalimpong,01-08-1967 00:00,9.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1967,1967-68,1960-1969,hydro,Run of River with Pondage,173.0,205.0,145.0,197.04,188.97,201.48,0.0,0.0,51.0,84.0,118.0,159.0,109.0,178.11,165.86,153.21,166.42,0.0,54.85794013,65.00507357,45.97919838,62.48097412,59.92199391,63.88889,0.0,0.0,16.17199391,26.63622527,37.41755454,50.41856925,34.56367326,56.47831,52.59,48.44983303,70.04208754,0.0
jaldhaka-i-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Jaldhaka I Hydroelectric Power Project,West Bengal,Kalimpong,01-08-1972 00:00,9.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1972,1972-73,1970-1979,hydro,Run of River with Pondage,173.0,205.0,145.0,197.04,188.97,201.48,0.0,0.0,51.0,84.0,118.0,159.0,109.0,178.11,165.86,153.21,166.42,0.0,54.85794013,65.00507357,45.97919838,62.48097412,59.92199391,63.88889,0.0,0.0,16.17199391,26.63622527,37.41755454,50.41856925,34.56367326,56.47831,52.59,48.44983303,70.04208754,0.0
jaldhaka-i-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Jaldhaka I Hydroelectric Power Project,West Bengal,Kalimpong,01-08-1972 00:00,9.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,1972,1972-73,1970-1979,hydro,Run of River with Pondage,173.0,205.0,145.0,197.04,188.97,201.48,0.0,0.0,51.0,84.0,118.0,159.0,109.0,178.11,165.86,153.21,166.42,0.0,54.85794013,65.00507357,45.97919838,62.48097412,59.92199391,63.88889,0.0,0.0,16.17199391,26.63622527,37.41755454,50.41856925,34.56367326,56.47831,52.59,48.44983303,70.04208754,0.0
maithon-hydroelectric-power-project-damodar-valley-corporation-dvc,Not Available,Not Available,Maithon Hydroelectric Power Project,West Bengal,Bardhaman,01-03-1958 00:00,23.2,Damodar Valley Corporation (DVC),operational,operational,1958,1957-58,1950-1959,hydro,Storage,108.0,122.0,114.0,101.36,83.63,192.39,189.0,102.0,56.0,122.0,89.0,98.0,138.0,221.42,100.13,76.32,144.61,0.0,19.50754292,22.03629848,20.5912953,18.30819028,15.10570198,34.75052,34.1382001,18.42379053,10.11502225,22.03629848,16.07566037,17.70128894,24.92630484,39.99408,18.09,13.74766549,34.66868048,0.0
maithon-hydroelectric-power-project-damodar-valley-corporation-dvc,Not Available,Not Available,Maithon Hydroelectric Power Project,West Bengal,Bardhaman,01-10-1957 00:00,20.0,Damodar Valley Corporation (DVC),operational,operational,1957,1957-58,1950-1959,hydro,Storage,108.0,122.0,114.0,101.36,83.63,192.39,189.0,102.0,56.0,122.0,89.0,98.0,138.0,221.42,100.13,76.32,144.61,0.0,19.50754292,22.03629848,20.5912953,18.30819028,15.10570198,34.75052,34.1382001,18.42379053,10.11502225,22.03629848,16.07566037,17.70128894,24.92630484,39.99408,18.09,13.74766549,34.66868048,0.0
maithon-hydroelectric-power-project-damodar-valley-corporation-dvc,Not Available,Not Available,Maithon Hydroelectric Power Project,West Bengal,Bardhaman,01-12-1958 00:00,20.0,Damodar Valley Corporation (DVC),operational,operational,1958,1958-59,1950-1959,hydro,Storage,108.0,122.0,114.0,101.36,83.63,192.39,189.0,102.0,56.0,122.0,89.0,98.0,138.0,221.42,100.13,76.32,144.61,0.0,19.50754292,22.03629848,20.5912953,18.30819028,15.10570198,34.75052,34.1382001,18.42379053,10.11502225,22.03629848,16.07566037,17.70128894,24.92630484,39.99408,18.09,13.74766549,34.66868048,0.0
purulia-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Purulia Hydroelectric Power Project,West Bengal,Purulia,17-12-2007 00:00,225.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,2007,2007-08,2000-2009,hydro,Pumped Storage Scheme,1065.0,1107.0,1014.0,1103.97,1075.47,1303.44,670.0,868.0,879.0,766.0,798.0,785.0,1408.63,1183.71,1578.08,1366.95,992.69,0.0,13.50837139,14.04109589,12.86149163,14.00266362,13.64117199,16.53272,8.498224252,11.00963978,11.14916286,9.715880264,10.1217656,9.956874683,17.87163876,15.01408,20.02,17.29090771,16.71195286,0.0
purulia-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Purulia Hydroelectric Power Project,West Bengal,Purulia,17-12-2007 00:00,225.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,2007,2007-08,2000-2009,hydro,Pumped Storage Scheme,1065.0,1107.0,1014.0,1103.97,1075.47,1303.44,670.0,868.0,879.0,766.0,798.0,785.0,1408.63,1183.71,1578.08,1366.95,992.69,0.0,13.50837139,14.04109589,12.86149163,14.00266362,13.64117199,16.53272,8.498224252,11.00963978,11.14916286,9.715880264,10.1217656,9.956874683,17.87163876,15.01408,20.02,17.29090771,16.71195286,0.0
purulia-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Purulia Hydroelectric Power Project,West Bengal,Purulia,17-12-2007 00:00,225.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,2007,2007-08,2000-2009,hydro,Pumped Storage Scheme,1065.0,1107.0,1014.0,1103.97,1075.47,1303.44,670.0,868.0,879.0,766.0,798.0,785.0,1408.63,1183.71,1578.08,1366.95,992.69,0.0,13.50837139,14.04109589,12.86149163,14.00266362,13.64117199,16.53272,8.498224252,11.00963978,11.14916286,9.715880264,10.1217656,9.956874683,17.87163876,15.01408,20.02,17.29090771,16.71195286,0.0
purulia-hydroelectric-power-project-west-bengal-state-electricity-distribution-company-limited-wbsedcl,Not Available,Not Available,Purulia Hydroelectric Power Project,West Bengal,Purulia,17-12-2007 00:00,225.0,West Bengal State Electricity Distribution Company Limited (WBSEDCL),operational,operational,2007,2007-08,2000-2009,hydro,Pumped Storage Scheme,1065.0,1107.0,1014.0,1103.97,1075.47,1303.44,670.0,868.0,879.0,766.0,798.0,785.0,1408.63,1183.71,1578.08,1366.95,992.69,0.0,13.50837139,14.04109589,12.86149163,14.00266362,13.64117199,16.53272,8.498224252,11.00963978,11.14916286,9.715880264,10.1217656,9.956874683,17.87163876,15.01408,20.02,17.29090771,16.71195286,0.0
